Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2009-11-17,133.6736297607422,134.92255765204052,132.84100346666543,133.98396178870098,7680500
2009-11-18,133.9008026123047,134.31711608099076,132.47020654705676,133.57532852303925,5959000
2009-11-19,130.82003784179688,133.37088482488082,129.76033033308107,132.86374379099342,8893100
2009-11-20,128.68544006347656,130.52478275226977,128.68544006347656,129.73757046124373,8825400
2009-11-23,130.1918182373047,131.42561648979913,129.624121355456,129.94203022331254,7930000
2009-11-24,129.53326416015625,130.19178869774314,128.8898698867801,129.91929379428993,6143700
2009-11-25,127.86045837402344,130.26749884616774,127.20193377259939,130.16909437015866,6984800
2009-11-27,124.25749206542969,125.877319984821,123.54597681628937,124.34075473394233,6883200
2009-11-30,128.69493103027344,128.94525262623443,124.98564115284175,125.51662109526143,10699200
2009-12-01,127.15509033203125,129.9617086728878,126.73030635497128,129.9010235940942,13489100
2009-12-02,126.41932678222656,127.2916503811866,125.59251410849954,127.17028019756674,7500200
2009-12-03,124.62918090820312,128.31571702525162,124.35610373010695,127.3978707511089,8020400
2009-12-04,126.85926818847656,127.28405220029866,124.04505674841077,127.0564860298236,10410300
2009-12-07,124.28783416748047,126.95032790531275,124.21955619381833,126.31315169746395,6654600
2009-12-08,122.76318359375,124.47750638205405,122.16393684994216,123.7341223523899,11693900
2009-12-09,126.25247192382812,126.71518571740093,121.91358534050622,122.98313860385484,10975800
2009-12-10,126.47240447998047,127.39025047327002,124.522946767881,126.44206772480813,11930700
2009-12-11,125.9187240600586,127.39788747959875,125.4787656834387,127.08688062422065,6425000
2009-12-14,125.99456024169922,126.29797416846034,124.2954121581386,126.28279999977246,6652900
2009-12-15,123.44583892822266,125.91869589770741,122.96795101706037,125.01602387640041,7539800
2009-12-16,125.15253448486328,125.835221395681,123.6961272538219,124.28779232972947,8637700
2009-12-17,122.07283020019531,124.11332125974232,121.99698252750902,123.11962762393225,8943800
2009-12-18,123.78713989257812,123.93126550347596,121.51908288709599,122.74034257089484,8687100
2009-12-21,125.50149536132812,126.4876079631974,123.96164714686651,124.2423056016258,9392900
2009-12-22,124.85672760009766,126.14625401575395,124.78086833908921,125.53941465118093,4190700
2009-12-23,124.12091827392578,125.76696213718377,123.9388630193064,125.2056337829797,4052600
2009-12-24,124.37886810302734,125.08431077849627,123.87822464491988,124.40162357162306,1858100
2009-12-28,124.21954345703125,125.69871806754914,123.99198881648866,124.4774580071437,3586000
2009-12-29,124.49259948730469,125.31183077781894,123.80233123722488,124.78085074910504,5214800
2009-12-30,126.4496841430664,126.88964244949658,124.1664636173939,124.44712208505639,5996200
2009-12-31,128.0729217529297,129.0514527113393,126.62409591266137,126.89717297378789,6401800
2010-01-04,131.2892303466797,132.17672836772658,128.58121377070233,128.99083536472463,9135000
2010-01-05,133.61026000976562,133.70128180415009,130.9022574564121,131.22842660261682,11659400
2010-01-06,132.18426513671875,133.0338448059535,131.8049920123542,133.0338448059535,7381100
2010-01-07,134.7709503173828,135.59018189624143,131.94915651503666,132.22982658039138,8727400
2010-01-08,132.2222442626953,134.5889057408731,131.94916704794392,133.75451149960602,7268100
2010-01-11,130.13616943359375,132.79108083193424,129.34728656800758,132.79108083193424,7704900
2010-01-12,127.29927062988281,129.31699538764926,126.70001245343882,128.96047763065098,10360100
